"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Модель;"Characteristics:Операционная система";"Characteristics:Материал корпуса";"Characteristics:Количество SIM-карт";"Characteristics:Тип экрана";Characteristics:Диагональ;"Characteristics:Размер изображения";"Characteristics:Число пикселей на дюйм (PPI)";"Characteristics:Соотношение сторон";"Characteristics:Тыловая камера";"Characteristics:Тип корпуса";"Characteristics:Тип дисплея";Characteristics:Яркость;Characteristics:Звук;"Characteristics:Макс. время работы";"Characteristics:Класс водонепроницаемости";"Characteristics:Материал ремешка";Characteristics:Вид;Characteristics:Тип;"Characteristics:Количество микрофонов";"Characteristics:Вес наушника";"Characteristics:Голосовой набор";"Characteristics:Ответить/закончить разговор";"Characteristics:Время работы";Characteristics:Материал;"Characteristics:Активное шумоподавление";Characteristics:Особенности;"Characteristics:Комплект поставки";Characteristics:Спецификации;"Characteristics:Системные требования";Characteristics:Процессор;Characteristics:Экран;Characteristics:Разрешение;"Characteristics:Число пикселей на дюйм";Characteristics:Bluetooth;"Characteristics:Встроенные динамики";"Characteristics:Технология дисплея";"Characteristics:Full HD";Characteristics:Частота;"Characteristics:Количество ядер";"Characteristics:Объем видеопамяти";"Characteristics:Количество Thunderbolt 3 (USB-C)";"Characteristics:Количество USB 3.0";Weight;Length;Width;Height
986603675291;;;;"Apple Watch Series 6";"Apple Watch Series 6, 40 мм, Серый космос, Америка";;;https://static.tildacdn.com/tild3536-6431-4664-b733-613439313433/aw6_40mm_spacegray_0.jpeg;;;;;;JhsnSjByTPyk9DOP5RK6;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;30;34;40;10
763155526721;;0197;;;"Apple Watch Series 6, 40 мм, Серый космос, Америка- Серый космос- 40 мм- Америка";;;;30990.00;123;;"Цвет:Серый космос;Размер дисплея:40 мм;Регион поставки:Америка";;n1X3VKlB7XLhxkG82oO8;986603675291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
321778533191;;;;"Apple Watch Series 6";"Apple Watch Series 6, 44 мм, Серый космос, Америка";;;https://static.tildacdn.com/tild3536-6431-4664-b733-613439313433/aw6_40mm_spacegray_0.jpeg;;;;;;2aukDFDoU7OcMamEuEYr;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;36;38;44;10
897931798001;;0204;;;"Apple Watch Series 6, 44 мм, Серый космос, Америка / Графитовый- Графитовый- 44 мм- Америка";;;35990.00;;123;;"Цвет:Графитовый;Размер дисплея:44 мм;Регион поставки:Америка";;tZ7h2eeFELiXXvoezriz;321778533191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
198194609241;;;;"Apple Watch Series 6";"Apple Watch Series 6, 40 мм, Тёмно-синий, Америка";;;https://static.tildacdn.com/tild6431-6266-4134-b264-336563653234/aw6_40mm_navyblue_0.jpeg;;;;;;3xKl0bozc2s6rV7AYj0T;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;30;34;40;10
618957517421;;0200;;;"Apple Watch Series 6, 40 мм, Тёмно-синий, Америка / Синий- Синий- 40 мм- Америка";;;;30990.00;123;;"Цвет:Синий;Размер дисплея:40 мм;Регион поставки:Америка";;zJtgOtRjcI3ziY3MaXjF;198194609241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
926968075771;;;;"Apple Watch Series 6";"Apple Watch Series 6, 44 мм, Тёмно-синий, Америка";;;https://static.tildacdn.com/tild6134-3930-4265-a430-326261376239/aw6_40mm_navyblue_0.jpeg;;;;;;DeHuRiZkIOjmG3vbDfCr;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;36;38;44;10
286864541911;;0205;;;"Apple Watch Series 6, 44 мм, Тёмно-синий, Америка / Синий- Синий- 44 мм- Америка";;;;35990.00;123;;"Цвет:Синий;Размер дисплея:44 мм;Регион поставки:Америка";;485nTia5HhmjDfeL9mSk;926968075771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
618191189351;;;;"Apple Watch Series 6";"Apple Watch Series 6, 40 мм, Красный, Америка";;;https://static.tildacdn.com/tild3531-3834-4532-a437-373136663463/aw6_40mm_red_0.jpeg;;;;;;V4hCpNdUHsOGdg8EFJp6;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;30;34;40;10
877660404541;;0201;;;"Apple Watch Series 6, 40 мм, Красный, Америка- Красный- 40 мм- Америка";;;;30990.00;123;;"Цвет:Красный;Размер дисплея:40 мм;Регион поставки:Америка";;hxS4irmM7T51tjLBGhiF;618191189351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
997222869441;;;;"Apple Watch Series 6";"Apple Watch Series 6, 44 мм, Красный, Америка";;;https://static.tildacdn.com/tild3062-6261-4636-b233-363735633838/aw6_40mm_red_0.jpeg;;;;;;7ECcZbeZUB5Gb8RaKl2x;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;36;38;44;10
195503650321;;0206;;;"Apple Watch Series 6, 44 мм, Красный, Америка- Красный- 44 мм- Америка";;;;35990.00;123;;"Цвет:Красный;Размер дисплея:44 мм;Регион поставки:Америка";;mk8golrThkfLM3aYyXZ3;997222869441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
143798870381;;;;"Apple Watch Series 6";"Apple Watch Series 6, 40 мм, Розовый песок, Америка";;;https://static.tildacdn.com/tild3737-3131-4630-a662-643435363966/aw6_40mm_gold_0.jpeg;;;;;;zDdUBtBgCCmvG7ZgS4eC;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;30;34;40;10
604791398901;;0202;;;"Apple Watch Series 6, 40 мм, Розовый песок, Америка- Розовый песок- 40 мм- Америка";;;;30990.00;123;;"Цвет:Розовый песок;Размер дисплея:40 мм;Регион поставки:Америка";;ycnIi7pbBePUgFCrmxxa;143798870381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
328602276461;;;;"Apple Watch Series 6";"Apple Watch Series 6, 44 мм, Розовый песок, Америка";;;https://static.tildacdn.com/tild6238-3931-4532-a630-353934373034/aw6_40mm_gold_0.jpeg;;;;;;4o6XxfBOiSpUTOATfkJT;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;36;38;44;10
163282286161;;0207;;;"Apple Watch Series 6, 44 мм, Розовый песок, Америка- Розовый песок- 44 мм- Америка";;;;35990.00;123;;"Цвет:Розовый песок;Размер дисплея:44 мм;Регион поставки:Америка";;5mCs9cOvfkfJ1V46Xbdt;328602276461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
249610762771;;;;"Apple Watch Series 6";"Apple Watch Series 6, 40 мм, Серебристый, Америка";;;https://static.tildacdn.com/tild3839-6566-4931-b065-336239393863/aw6_44mm_silver_0.jpeg;;;;;;PudO0CCA1TCLo62zyoxb;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;30;34;40;10
510956777881;;0203;;;"Apple Watch Series 6, 40 мм, Серебристый, Америка- Серебристый- 40 мм- Америка";;;;30990.00;123;;"Цвет:Серебристый;Размер дисплея:40 мм;Регион поставки:Америка";;sPHCaHYTopgUOpp9rkb2;249610762771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
721766765761;;;;"Apple Watch Series 6";"Apple Watch Series 6, 44 мм, Серебристый, Америка";;;https://static.tildacdn.com/tild3034-3235-4237-b636-376438303735/aw6_44mm_silver_0.jpeg;;;;;;XS85IphhazD4O3yB5XJN;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;36;38;44;10
714111483171;;0208;;;"Apple Watch Series 6, 44 мм, Серебристый, Америка- Серебристый- 44 мм- Америка";;;;35990.00;123;;"Цвет:Серебристый;Размер дисплея:44 мм;Регион поставки:Америка";;DygyXMUcKHmDEApVrJZH;721766765761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0

485527405111;;;;"Apple Watch Series 6";"Apple Watch Series 6, 40 мм, Серый космос, Ростест";;;https://static.tildacdn.com/tild3536-6431-4664-b733-613439313433/aw6_40mm_spacegray_0.jpeg;;;;;;2tOeU2o4A1meg7HkCZbU;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;30;34;40;10
679234081811;;0197;;;"Apple Watch Series 6, 40 мм, Серый космос, Ростест- Серый космос- 40 мм- Ростест";;;;26490.00;123;;"Цвет:Серый космос;Размер дисплея:40 мм;Регион поставки:Ростест";;kEfOSEbGGL1IMCDHUpXJ;485527405111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
395021757551;;;;"Apple Watch Series 6";"Apple Watch Series 6, 40 мм, Красный, Ростест";;;https://static.tildacdn.com/tild3531-3834-4532-a437-373136663463/aw6_40mm_red_0.jpeg;;;;;;dGet3CjOzDYHLoMz29KL;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;30;34;40;10
317063442481;;0201;;;"Apple Watch Series 6, 40 мм, Красный, Ростест- Красный- 40 мм- Ростест";;;;;123;;"Цвет:Красный;Размер дисплея:40 мм;Регион поставки:Ростест";;lRIoy83f93kB3Mo9AGjy;395021757551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
571521249931;;;;"Apple Watch Series 6";"Apple Watch Series 6, 40 мм, Розовый песок, Ростест";;;https://static.tildacdn.com/tild3737-3131-4630-a662-643435363966/aw6_40mm_gold_0.jpeg;;;;;;34GfHUrC21zyIzklNz7h;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;30;34;40;10
960372876771;;0202;;;"Apple Watch Series 6, 40 мм, Розовый песок, Ростест- Розовый песок- 40 мм- Ростест";;;;;123;;"Цвет:Розовый песок;Размер дисплея:40 мм;Регион поставки:Ростест";;ZLLem6Ea2bc4lErJnGfP;571521249931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
275770850961;;;;"Apple Watch Series 6";"Apple Watch Series 6, 40 мм, Серебристый, Ростест";;;https://static.tildacdn.com/tild3839-6566-4931-b065-336239393863/aw6_44mm_silver_0.jpeg;;;;;;cJLHptaH3UEg5NJcY0Jm;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;30;34;40;10
889180308571;;0203;;;"Apple Watch Series 6, 40 мм, Серебристый, Ростест- Серебристый- 40 мм- Ростест";;;;;123;;"Цвет:Серебристый;Размер дисплея:40 мм;Регион поставки:Ростест";;LipLpK30Y5DsUHGb1AK5;275770850961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
133757687031;;;;"Apple Watch Series 6";"Apple Watch Series 6, 40 мм, Тёмно-синий, Ростест";;;https://static.tildacdn.com/tild6431-6266-4134-b264-336563653234/aw6_40mm_navyblue_0.jpeg;;;;;;HhFxipr6fiXYxzJvvf2E;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;30;34;40;10
316354256671;;0200;;;"Apple Watch Series 6, 40 мм, Тёмно-синий, Ростест / Синий- Синий- 40 мм- Ростест";;;;;123;;"Цвет:Синий;Размер дисплея:40 мм;Регион поставки:Ростест";;4mCYijmG9veNIpyUC7hA;133757687031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
606323463441;;;;"Apple Watch Series 6";"Apple Watch Series 6, 44 мм, Серый космос, Ростест";;;https://static.tildacdn.com/tild3536-6431-4664-b733-613439313433/aw6_40mm_spacegray_0.jpeg;;;;;;rCGCommRfNeaUM5lNAS7;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;36;38;44;10
368363797601;;0204;;;"Apple Watch Series 6, 44 мм, Серый космос, Ростест- Серый космос- 44 мм- Ростест";;;;34990.00;123;;"Цвет:Серый космос;Размер дисплея:44 мм;Регион поставки:Ростест";;yx2OTFIC2JZYLaYbmfVA;606323463441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
713328198461;;;;"Apple Watch Series 6";"Apple Watch Series 6, 44 мм, Тёмно-синий, Ростест";;;https://static.tildacdn.com/tild6134-3930-4265-a430-326261376239/aw6_40mm_navyblue_0.jpeg;;;;;;IoiX76E5LLcNY5JJU5iz;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;36;38;44;10
357436260021;;0205;;;"Apple Watch Series 6, 44 мм, Тёмно-синий, Ростест / Синий- Синий- 44 мм- Ростест";;;;34990.00;123;;"Цвет:Синий;Размер дисплея:44 мм;Регион поставки:Ростест";;VB7lTFxoIDzfhxChzcvZ;713328198461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
575049640861;;;;"Apple Watch Series 6";"Apple Watch Series 6, 44 мм, Красный, Ростест";;;https://static.tildacdn.com/tild3062-6261-4636-b233-363735633838/aw6_40mm_red_0.jpeg;;;;;;IlVEJz5V5kVPkjYYM4xj;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;36;38;44;10
444396199531;;0206;;;"Apple Watch Series 6, 44 мм, Красный, Ростест- Красный- 44 мм- Ростест";;;;34990.00;123;;"Цвет:Красный;Размер дисплея:44 мм;Регион поставки:Ростест";;243z3xzsJhDe7RoO9vhg;575049640861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
937313729191;;;;"Apple Watch Series 6";"Apple Watch Series 6, 44 мм, Розовый песок, Ростест";;;https://static.tildacdn.com/tild6238-3931-4532-a630-353934373034/aw6_40mm_gold_0.jpeg;;;;;;rYHuvMVBU5gLV2rv34rM;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;36;38;44;10
339808565571;;0207;;;"Apple Watch Series 6, 44 мм, Розовый песок, Ростест- Розовый песок- 44 мм- Ростест";;;;34990.00;123;;"Цвет:Розовый песок;Размер дисплея:44 мм;Регион поставки:Ростест";;arf4gad6HGtCchI3IPEB;937313729191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
107189311161;;;;"Apple Watch Series 6";"Apple Watch Series 6, 44 мм, Серебристый, Ростест";;;https://static.tildacdn.com/tild3034-3235-4237-b636-376438303735/aw6_44mm_silver_0.jpeg;;;;;;3OP5K0k4jI7Z4OeS10Tc;;"Watch Series 6";"Watch OS6";Алюминий;;;;;;;;;"OLED LTPO с технологией Retina";"1000 кд/кв.м";"Встроенный динамик";"до 18 часов";"до 50 метров";силикон;;;;;;;;;;;;;;;;;;;;;;;;;;;36;38;44;10
408091448461;;0208;;;"Apple Watch Series 6, 44 мм, Серебристый, Ростест- Серебристый- 44 мм- Ростест";;;;34990.00;123;;"Цвет:Серебристый;Размер дисплея:44 мм;Регион поставки:Ростест";;PdhHFPAdkJcR0iiTeTSF;107189311161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
